010guuU%YMMMSSDDXXXMMMYY10000110	MACM[R][40] [T3=][uns(]Xmem[)],[uns(]Ymem[)],ACx>>#16[,ACy]
011guuU%YMMMSSDDXXXMMMYY10000110	MASM[R][40] [T3=][uns(]Xmem[)],[uns(]Ymem[)],[ACx,]ACy
100xssU%YMMMDDDDXXXMMMYY10000110	MASM[R] [T3=]Xmem,Tx,ACx::MOVYmem<<#16,ACy
101xssU%YMMMDDDDXXXMMMYY10000110	MACM[R] [T3=]Xmem,Tx,ACx::MOVYmem<<#16,ACy
110xxxx%YMMMDDDDXXXMMMYY10000110	LMS Xmem,Ymem,ACx,ACy
1110xxn%YMMMDDDDXXXMMMYY10000110	SQDST Xmem,Ymem,ACx,ACy
1111xxn%YMMMDDDDXXXMMMYY10000110	ABDST Xmem,Ymem,ACx,ACy
000xssU%YMMMSSDDXXXMMMYY10000111	MPYM[R] [T3=]Xmem,Tx,ACy::MOVHI(ACx<<T2),Ymem
001xssU%YMMMSSDDXXXMMMYY10000111	MACM[R] [T3=]Xmem,Tx,ACy::MOVHI(ACx<<T2),Ymem
010xssU%YMMMSSDDXXXMMMYY10000111	MASM[R] [T3=]Xmem,Tx,ACy::MOVHI(ACx<<T2),Ymem
01100001YMMMSSDDXXXMMMYY10000111	LMSF Xmem,Ymem,ACx,ACy
100xxxxxYMMMSSDDXXXMMMYY10000111	ADD Xmem<<#16,ACx,ACy::MOVHI(ACy<<T2),Ymem
101xxxxxYMMMSSDDXXXMMMYY10000111	SUB Xmem<<#16,ACx,ACy::MOVHI(ACy<<T2),Ymem
110xxxxxYMMMSSDDXXXMMMYY10000111	MOV Xmem<<#16,ACy::MOVHI(ACx<<T2),Ymem
uuDDDDg%YMMM00mmXXXMMMYY10010010	MPY[R][40] [uns(]Ymem[)],[uns(]HI(Cmem)[)],ACy,::MPY[R][40][uns(]Xmem[)],[uns(]LO(Cmem)[)],ACx
uuDDDDg%YMMM01mmXXXMMMYY10010010	MPY[R][40] [uns(]Ymem[)],[uns(]HI(Cmem)[)],ACy,::MAC[R][40][uns(]Xmem[)],[uns(]LO(Cmem)[)],ACx
uuDDDDg%YMMM10mmXXXMMMYY10010010	MPY[R][40] [uns(]Ymem[)],[uns(]HI(Cmem)[)],ACy,::MAS[R][40][uns(]Xmem[)],[uns(]LO(Cmem)[)],ACx
uuDDDDg%YMMM00mmXXXMMMYY10010011	MAC[R][40] [uns(]Ymem[)],[uns(]HI(Cmem)[)],ACy,::MAC[R][40][uns(]Xmem[)],[uns(]LO(Cmem)[)],ACx
uuDDDDg%YMMM01mmXXXMMMYY10010011	MAC[R][40] [uns(]Ymem[)],[uns(]HI(Cmem)[)],ACy,::MAS[R][40][uns(]Xmem[)],[uns(]LO(Cmem)[)],ACx
uuDDDDg%YMMM10mmXXXMMMYY10010011	MAC[R][40] [uns(]HI(Ymem)[)],[uns(]HI(Cmem)[)],ACy,::MAC[R][40][uns(]LO(Xmem)[)],[uns(]LO(Cmem)[)],ACx>>#16
uuDDDDg%YMMM11mmXXXMMMYY10010011	MAC[R][40] [uns(]HI(Ymem)[)],[uns(]HI(Cmem)[)],ACy>>#16,::MAC[R][40][uns(]LO(Xmem)[)],[uns(]LO(Cmem)[)],ACx>>#16
uuDDDDg%YMMM00mmXXXMMMYY10010100	MAC[R][40] [uns(]HI(Ymem)[)],[uns(]HI(Cmem)[)],ACy>>#16,::MAS[R][40][uns(]LO(Xmem)[)],[uns(]LO(Cmem)[)],ACx
uuDDDDg%YMMM10mmXXXMMMYY10010100	MAC[R][40] [uns(]HI(Ymem)[)],[uns(]HI(Cmem)[)],ACy>>#16,::MPY[R][40][uns(]LO(Xmem)[)],[uns(]LO(Cmem)[)],ACx
uuDDDDg%YMMM01mmXXXMMMYY10010101	MAS[R][40] [uns(]HI(Ymem)[)],[uns(]HI(Cmem)[)],ACy,::MAS[R][40][uns(]LO(Xmem)[)],[uns(]LO(Cmem)[)],ACx
KKKKKKKKKKKKKKKKAAAAAAAI11110000	CMP Smem==K16,TC1
KKKKKKKKKKKKKKKKAAAAAAAI11110001	CMP Smem==K16,TC2
kkkkkkkkkkkkkkkkAAAAAAAI11110010	BAND Smem,k16,TC1
kkkkkkkkkkkkkkkkAAAAAAAI11110011	BAND Smem,k16,TC2
kkkkkkkkkkkkkkkkAAAAAAAI11110100	AND k16,Smem
kkkkkkkkkkkkkkkkAAAAAAAI11110101	OR k16,Smem
kkkkkkkkkkkkkkkkAAAAAAAI11110110	XOR k16,Smem
KKKKKKKKKKKKKKKKAAAAAAAI11110111	ADD K16,Smem
xxDDx0U%KKKKKKKKAAAAAAAI11111000	MPYMK[R] [T3=]Smem,K8,ACx
SSDDx1U%KKKKKKKKAAAAAAAI11111000	MACMK[R] [T3=]Smem,K8,[ACx,]ACy
SSDD00xxuxSHIFTWAAAAAAAI11111001	ADD [uns(]Smem[)]<<#SHIFTW,[ACx,]ACy
SSDD01xxuxSHIFTWAAAAAAAI11111001	SUB [uns(]Smem[)]<<#SHIFTW,[ACx,]ACy
xxDD10xxuxSHIFTWAAAAAAAI11111001	MOV [uns(]Smem[)]<<#SHIFTW,ACx
SSxxx0x%xxSHIFTWAAAAAAAI11111010	MOV [rnd(]HI(ACx<<#SHIFTW)[)],Smem
SSxxx1x%uxSHIFTWAAAAAAAI11111010	MOV [uns(][rnd(]HI[(saturate](ACx<<#SHIFTW)[)))],Smem
KKKKKKKKKKKKKKKKAAAAAAAI11111011	MOV K16,Smem
LLLLLLLLLLLLLLLLAAAAAAAI11111100	BCC L16,ARn_mod!=#0
DDDDuug%000000mmAAAAAAAI11111101	MPY[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MPY[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%000001mmAAAAAAAI11111101	MPY[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%000010mmAAAAAAAI11111101	MAC[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MPY[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%000011mmAAAAAAAI11111101	MPY[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MAS[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
